id	text
468625	"I am so glad to see Peet's products offered for sale on Amazon!  You can't go wrong with any Peet's products.  The teas and coffees that their expert buyers search out are top quality and very often unique.  The product is always as fresh as fresh can be.<br /><br />This Pride of the Port blend is made from black tea.  This is not a strong breakfast blend.  It has a beautiful reddish brown color when brewed and it has a wonderful floral fragrance and a complex taste.  Brewed properly, one can taste many flavors.  It is very """"nuanced"""" and provides a soothing and relaxing experience.  There is no bitterness, no off or odd flavors.  It's not my favorite of all Peet's teas, but it is my favorite of those offered here.<br /><br />If you want to get the most out of your tea experience, or if you're having trouble getting your water temperatures just right, check out the electric tea kettle we use:  <a href=""""http://www.amazon.com/gp/product/B001DYERBK"""">Breville BKE820XL Variable-Temperature 1.8-Liter Kettle</a>.  We love it!  It gets your water to the correct temp quickly!  And it's very safe to use."
245866	"Something is wrong with these corn flakes. They have totally changed the formula for the worse. The box says something like """"new look, same great taste."""" But in fact with the new box they have also completely changed the corn flakes. They're larger and much more tasteless now. I don't think I'm going to buy these any more unless they bring back the old ones."
95574	"These bars have 4g fiber, 4g protein, and 110 calories (25 from fat). They are pretty tasty, not too sweet, peanut butter and chocolate flavor with rice/oats, and various sweetners. Not bad for a quick snack that's not too loaded. I like them and would buy more if I can find them at a reasonable price. I chill mine in the fridge for a little extra crunch.<br /><br />I would not really call these """"granola"""" bars, myself, but they do satisfy as a quick snack."
372334	"My 2 yr old terrier mix has been eating this food since she was a puppy. She loves it & we love it because since switching over to this her skin is no longer pink and itchy! HOWEVER THIS SELLER IS TERRIBLE....Placed order for """"just a wee bit"""" dog food. In-stock item was estimated to be delivered a week later. Well a week later when I was supposed to have received my order I instead received an email from amazon stating they could not give me tracking info because seller had not confirmed that the item had yet been shipped! I contacted seller asking when I would be receiving the order and they did not reply! Meanwhile I ran out of my dogs food and I had to drive all around town looking for a store that carried this brand! (hard to find in my area, which is why I usually order online...usually through amazon from ProbioticSmart, but I tried to save a few bucks with PetcareRx...never again"
318846	My cat has gingivitis, and he's only 2. My vet prescribed fancy expensive food that you can only get from a vet. I did some research, and this stuff is made by the same company, with a nearly identical ingredients list. While i was mixing in his old food with this stuff to acclimate him, he'd pick out the new food until he ate it all, leaving behind his purina!<br />As far as helping his gingivitis, it's helped a little. The plaque has gone down considerably, but the gumline is still reddish. He really loves this stuff, so I'll probably buy this again.
414003	The first time I tried this I thought, wow, this is great! It's as satisfying as eating regular potato chips, but sweeter and presumably healthier. So had I written the review then I would have given it 5 stars. The reason I hesitated was that I took it with me to work, and the more I tried it, the more I began to question the sweetness. There's no question that sweet potatoes are slightly sweet, but I felt it only fair to let readers know that they might find this product to be TOO sweet. Hence the reason for the 4 stars. It is still quite good, but if you find sweetness to be cloying, you might not like this product for long. But all in all, I would still recommend it.
537173	I live in NYC and you can buy these bars anywhere, however they can range up to $3 per bar. this is a great value if you enjoy these bars. By far the best bar I have ever eaten. Great flavor and consistency!
408349	Nestle makes some seriously lousy cocoa. If you can taste any cocoa or mint in this bland product, you don't have a human tongue. The drink you're supposed to enjoy smells exactly like bales of hay. And twenty seven clams? Does it come with shares of stock in the company?
213335	This Cat food is very delicious that my cat loves the product. Every time I open the pouch, my cat will come wanting to eat it. Please try this product with your cat if you have not done so yet. It is good for cats that are picky eaters.
456322	a lot of the things you give up with a gluten free diet is the TEXTURE of foods you used to love.  The spongy, slightly chewy moistness of a decadent chocolate cake is missing out of most box versions.  This one does not disappoint!<br /><br />I am buying a case.  It's that good.
473799	My wife absolutely adores this cocoa. Very easy to make, just hot water which for her is a plus.<br />She prefers this over Ghiradelli.
453824	The Heart Healthy Mix has all the best nuts - no brazil nuts!!<br />If you use the subscribe and save option,  you will get three cans of 11.5 ounces each which is larger and much less expensive than those available in regular stores.
261572	NOW stevia is the best I have used so far. I use it in many things...food and drink. The only way you will get an after taste with this product is if you use too much. It takes very little to sweeten food and drinks.
374620	I was looking for a great vegan breakfast bar to grab in the morning on my way to work and these cookies could not have been more perfect. Filling, delicious, and easy to grab on-the-go, I will definitely be a repeat customer!
356353	"This is a 2 fold product and you must be aware of this. It is great at making me drowsy before bedtime but it is also a stool softener! So...you need to experiment with how much you need/can take comfortably. I call it my cheese to magnesium ratio! It is a great product and I use it a lot...just with care. One rounded teaspoon in very warm water before bed seems to be """" my level"""". Great product and service."
531591	So, I do A/B tests.  You know, like buy bar A and then bar B and then eat 'em both.<br /><br />YEARS of doing this shamelessly has led me to become a regular purchaser of Chocolove's Pure Dark.  The 55% one.<br /><br />I don't care much for their other bars -- they're just so-so -- but DANG! the Pure Dark is crazy-good.<br /><br />Do yourself a favor.  Don't just buy this bar.  Buy this bar and then buy ten other chocolate bars.  It's in the name of science, it's okay.  Take all your bars, break them up, then try them all.<br /><br />Yeah, that chocolate that keeps evolving and coating your mouth with subtlety and wizardry?  That's this one.
480465	These chips are delicious. The chips arrived early which worked out perfect for us. My husband came home for a two week vacation from Afghanistan and he loved the chips.  The chips are not greasy like chips in the US.  I will definitely be purchasing these chips again soon.  We are hooked!
204060	I used to be a fan of Canidae, but after $2k in recent vet bills and a very sick dog, I found out there is a HUGE amount of Consumer Affairs complaints about this company.<br /><br />After blood work, ultrasound and many other tests trying to figure out why my dog wasn't eating, was throwing up on the rare occasion he did, had pockets of gas the size of base balls (he is a small dog) and had all the symptoms of kidney and liver failure, my vet determined it might be the food. I found that hard to believe, but we couldn't find anything else wrong. If you read the complaints you will see many people have lost their dogs. They started using one of the very companies for production whose imported food killed so many animals a year or so ago.<br /><br />As soon as I quit feeding him this poison, he started getting better. I was one of the lucky ones since my pet did not die, but as I write this, he still has not gained all his weight back.<br /><br />The company is acting as if nothing is wrong. Probably on the advice of their attorneys.<br /><br />You don't need to take my word for it, please read up... http://www.consumeraffairs.com/pets/canidae.html
223934	I picked this up at my local farmers' market and it's wonderful! I got some dipping spices from the same vendor. I brushed the olive oil on a gluten free pizza crust, added the spices and some fresh garlic and black pepper. I cover that with sliced tomatoes and mozzarella cheese. SO good!! I'll definitely be purchasing more!
279553	there where plenty of times we had to eat out...but...then came mae ploy sweet chili sauce...now we can eat in whih the same flavor, exciting taste as being at one of the favorite restaurants!!!
15167	Great syrup.  Tastes really good. I actually saw this same syrup for $35 at the health food store... So I think its a good deal, too..
71679	It's not marketed as including conditioners, but my hair feels like it does after using a conditioner.  So if you have fine, thin hair, you may not want to use this, as conditioners will weigh your hair down.<br /><br />I like it.  A little bit gives a lot of lather.  The scent is clean and pleasant, not perfumey.  It's too early to tell if it will really strengthen my hair.  I'm doubtful, because I'm older (67) and my hair has been thinning for years.<br /><br />I don't see that my results are much different from my regular shampoo (Pantene), but I'll probably switch.  It does make more lather than Pantene, so I'll be able to use less, and I like the light conditioning.  The ingredients list several natural oils, so maybe that's where the conditioning comes from.<br /><br />Five stars because it lathers nicely, rinses clean, and smells good.  There's not much more to ask from a shampoo.
198859	"Been a Spam fan for over 40 yrs. & thought the Bacon Flavored version would be something different. Sorry to say that it just didn't have any, or very little, bacon flavor. Tasted like a can of regular Spam. Called Hormel Customer Service to voice my concerns and got a curt response of """"we can't satisfy every customer's tastes"""", end of conversation. Thought they'd be a bit more receptive to a long time customer's comments but they weren't. If you like regular Spam you'll like this, just don't expect much of a Bacon flavor."
272231	I have 2 brothers that are cats and they have had this food on and off their whole lives they love it.  It's healthy and at times hard to find at stores so I prefer to order it online.
375672	With the summer heat, a cool drink it what hits the spot.  You could drink something like Snapple, but at such a lower cost and just as good (if not better) are these Crystal Light Drink Mixes.  The Strawberry Orange Banana is a winner!
167362	These snack bars are part of KIND Healthy Snacks range of whole nut bars made with only 5 grams of sugar and no artificial ingredients. I tried the Dark Chocolate Nuts and Sea Salt.<br /><br />The first thing I noticed when I unwrapped my first bar was that it seemed to rain bits of dark chocolate. There was still plenty of chocolate left on the bar, but there were a lot of chocolate crumbs on the piece of paper in front of me. I am very glad that I was not sitting back when I opened this, as I would have had a lap full of chocolate!<br /><br />The second thing I noticed was the taste. The bar is quite, quite yummy - tasting of almond, peanuts and walnuts, with a nice shadow of cocoa, and periodic flashes of sea salt. In this respect the bar is a home run!<br /><br />The third thing I noticed was the calorie count. A Dark Chocolate Nuts and Sea Salt bar has 200 calories, with 140 calories coming from fat, and it has 16 grams of carbohydrates. As far as I am concerned, this does put the bar in the candy bar range, which is unfortunate.<br /><br />So, I would say that this is a delicious, all-natural snack bar, but it is definitely NOT a low-cal snack. Also, beware of opening one of these when wearing dress clothes!<br /><br />(Review of KIND Nuts and Spice Bars Dark Chocolate Nuts and Sea Salt)
366106	These things are great!  I don't like the granola-like crunchiness of most oatmeal bars, but these are soft.  No high fructose corn syrup or other unnatural, unhealthy stuff.  Can't say enough good things!
435616	I love pumpkin, my dogs love pumpkin.  I quite often roast my own, but I need back up cans now and again.  Libby's has disappeared from stores.  This stuff is the only brand ANY store is selling.  It tastes like dirt.  It really does.  There is no fresh pumpkiny flavor.  It is also watery, which changes how pie and cake recipes turn up.  Finally, I gotta wonder-if LIBBY'S pumpkin harvest dried up, where are these guys getting theirs from? A mystery
276604	"I happily stumbled upon Erin Baker's Breakfast Cookies while browsing around on Amazon. I had never heard of them before. Studying the comments, I ordered the 3oz cookies, two packages of double chocolate chunk and one of candied apple. They arrived in a flash! Both flavors are excellent but I am a dyed-in-the-wool chocolate aficionado, so those are my favorite treats. I have been looking at other so-called """"diet cookies"""" and """"breakfast bars"""" since my boxes arrived. I now know that I am getting the best cookies, the best value and the best breakfasts that I have ever known! Would that my mother had been able to buy these during WWII--I could have escaped the horrible Spam, the too-crispy eggs and the watery mush.<br /><br />Erin, I am so glad I found ye!"
221933	OK, I like a little richness. These nuts have a flavorful salt taste, but are almost too dry to get down your throat.
566659	You can use 2 or 3 bags and add a couple of plain tea bags for terrific flavored iced tea.  These teas are not weak in flavor; you will know for sure it's raspberry!  Probably the best fruity tea ever!
211559	"""""I am very impressed by SuperOlive and will consider using them exclusively for all future purchases of Frantoia Barbera Extra Virgin Olive Oil. The Olive oil arrived well packed, in excellent condition, and in a very timely manner. This is one of my favorite olive oils and I have bought more than 10 bottles over the years.  Very nice."
108579	When I ordered this product, I had no idea they had changed the formulation. I sure wouldn't have ordered 8 tubs if I'd known... Anyway, the texture is completely different, it's gritty, the flavor is less sweet, it has more calories, less fat, it's made out of tofu instead of soy beans... There is nothing that is the same! I will use this product until it's gone because I don't like wasting food, but then I'll be in the market for something else!
86159	My two terrier mixes (20 lbs. and 32 lbs.) love to chew, and their paws-down favorites over the past five years have been Nylabone Dental Dinosaurs. We go through 2-3 sets per year and have have no problems, with the exception of an occasion bit of gum bleeding (very slight) when someone gets a bit carried away. Well, that, and having to confiscate the toys when we're trying to sleep, since their chewing enjoyment is a bit too noisy for nighttime!<br /><br />After months of use, I take the worn down toys away and replace them, and I regularly check to make sure there are no sharp edges or larger parts that look as if they could break off and be ingested.<br /><br />If you have a dog that loves chewing, I've say to give them a try, at first with supervision. If your dogs are like mine, these toys will offer many hours of entertainment and cleaner teeth to boot.
229865	Got this for a kitten who has had diarrhea for 7 months. We had tried four other foods--Two science diet from vet, two that were free of soy, corn or wheat; none worked. He had been on antibiotics+Benebac, prednisone, an anti-inflammatory that is also a chemo drug (kinda scary) and had surgery to see if he had cancer. This seems to be working! Still don't know WHAT he is allergic to, but this food seems to be good for him. My other cat eats it fine, too.
125994	This gum tastes exactly like apple pie, and the flavor lasts and lasts, compared to other gums. It's just the thing to satisfy a sweet tooth. The only problem is that it's too hard to find. I LOVE, LOVE, LOVE this gum!
151652	This is the best boullion I have ever used.  Knorr is a great company.  Their Onion soup mix is to die for.  I use this in all kinds of cooking when stock is not available and in special recipies.
170706	While it may not look like much initially, I am very satisfied with the amount of shine the silver dust gives with mixed with some vodka and applied on pastillage. Made quite a difference for the look of a birthday cake i'm making. Item arrived in a timely manner and is well-packed.
465082	I got such a great deal on these when I ordered them. I only hope that they bring them back soon!!!
140045	I was sorely disappointed in these cookies.. They are pretty tasteless and damn hard too.. I wouldn't buy them again and I've certainly tasted much better low-cal cookies.. I definitely recommend saving your money, folks..
294130	If you've had these cookies already - no one needs to sell them to you. I would just recommend that you keep them in the freezer. That way they're sort of hidden from you (and others) but for some reason freezing them brings out the taste and consistency of the chocolate. Try it!
273480	I ordered these cupcake toppers for my daughter's birthday party. I thought they would probably be really small for the price, but they were big! They are super cute on cupcakes! And the shipping was really fast!
258752	** Update 11/05/2011 **<br /><br />I sent an email to Twining to also point out the problem to them. They replied to thank me for taking the time to bring the problem to their attention. They indicated they had addressed the issue and said they wanted to make things right for us, which they did.<br /><br />They sent a package with a selection of teas in a beautiful wooden box and also some boxes of the k-cup English Breakfast tea and a personalized letter from Monica, Twining's Customer Relations Representative (was not a canned letter response) again thanking me for taking the time to make them aware of the issue.<br /><br />I must admit I was very pleasantly surprised by Twining's gester. I just didn't think--or expect--a corporation would respond in such a personalized way to acknowledge an issue and to want to make things right the way they did. Bravo to Twining for understanding their customer-base is made up of individuals just like me that warrants a personal touch when things aren't quite right with a product.<br /><br />I can report I have not had the same problem with the new k-cups Twining send us and so it appears the problem has been resolved. As such, I have raised my rating from a 1 star to a 4 star, still withholding 1 star for the original issue. I will now return to purchasing the new red top English Breakfast tea k-cups.<br /><br />*********************<br /><br />Recently poor seals between the plastic part of the k-cup and the foil seal on top of the Twining English Breakfast Tea K-Cups have plagued us with tea leaves in the tea and overflowing tea leaves into the top of the holder requiring clean up just about every time.<br /><br />At first we thought it was our Keurig coffeemaker having a faulty seal and replaced it even though we'd only had the previous one for less than a year. However, upon purchasing a new Keurig we experienced the exact same thing right from the start. Of course, we then wondered if we'd bought a second faulty coffeemaker. That's when the light bulb went on and we realized the problem didn't happen with other k-cups--a different brand of tea, coffee, hot chocolate, etc--just the Twining brand English Breakfast Tea regular k-cups.<br /><br />It's a shame because we've been ordering and drinking Twining's English Breakfast Tea K-Cups at least a year or two now and it's only been the last two bulk batches we've ordered that have done the exact same thing. And, it's not just from one of the boxes. We've opened and tried k-cups from some of the other boxes and the same thing happens.<br /><br />The fact that it has done the same thing with two separate Keurig coffeemakers, it doesn't happen with any other brand or flavor of k-cup beverages, and it only happens with Twining English Tea K-Cups from different boxes from two different bulk orders pretty much narrows it down to the Twining English Breakfast Tea K-Cups themselves.<br /><br />I hope someone at Twining--we'll also leave the same feedback on their web site--will see this review and resolve this apparent and repeatable problem. Until then we're going to switch brands. Too bad because we've still got 6 boxes of the offending tea k-cups but having to strain tea leaves out through our teeth and having to keep cleaning tea leaves from the top of the coffeemaker holder isn't an option.
468692	"After watching a popular health show on TV recently, I decided to order cactus jelly for its health benefits. I did not find much flavor in it. Perhaps the actual """" cactus"""" flavor IS super sweet, or maybe cactus just has little flavor.  I have not compared this brand with any other, similar product, so I cannot say if this is a good or bad representation of what cactus jelly is like. I read an article that described the flavor of prickly pear cactus to """" cold green beans"""", so maybe sweet and bland is better than a green bean taste on my toast! I also doubt that there is as much healthy stuff in this once it is turned into jelly. I will seek a different product in the future."
383300	Maybe it's just me, but I have used this extract in my oatmeal (same amount as McCormick extracts) and I can't taste any flavor at all.  Very disappointing.
6650	This drink is a nice blend of juices (mostly orange) and carbonated water.  There are no other ingredients.  It has a decent amount of natural sugars from the juice, so it is not a low-calorie drink.  I thought the balance of flavors and sweetness was quite nice and would definitely buy again.
391450	I was very pleased with the handling by iGourmet: the wedges of vacuum-packaged cheese arrived in a box with cold packs so they were still chilled (not a worry in winter but good to know if ordering during the summer months).  Vasterbotten cheese is to DIE for; it's beautifully aged and slightly salty like sharp cheddar, but with a savory taste all its own.  It's perfect when paired with dark sea-salted chocolate, in a sandwich, or just nibbled on all by itself.  We ordered four 8 oz. wedges and with great reluctance gave three of them away as Christmas gifts.  This cheese is made in only one locale in Sweden, in the Vasterbotten region (it's what they're famed for, amongst other things), and there's only so much of it produced at any given time.  You may have to sign up for an email alert letting you know when it's available, but believe me, it's worth the wait!
305067	I discovered this at a local grocery store.  I really liked it, and bought many of the expensive four-packs there until I discovered it on Amazon.  The subscription deal is great, and it shows up right on time.<br /><br />Like some other reviewers have mentioned, if you don't like cherry flavored drinks then you will not like this--it is very cherry.  Lightly carbonated.  Sweet.
350390	"This brand was carried by my local supermarket until just recently.  Now, it is no longer on the shelves and is replaced by another brand.  Big disappointment.  Thank goodness I purchased the last few boxes when it appeared as though they were going to stop carrying it.  I shall be purchasing it though Amazon in the future as I do other gluten free products that Amazon carries.  Well, now to Lundberg's pasta.  It is great.  I have tried other brands but none ever were as palatable as this brand.  Not hard and """"dry"""" like so many others.  I recommend it."
95769	I use the Torani sugar free flavorings in all types of Protein drinks and different recipes. Since having Gastric Bypass it is an added benefit for flavor.
175719	These pancakes are wonderful.  My husband & I put blueberries in them to make them even more wonderful.  I haven't been able to purchase this here in Charlotte, so I always buy it from Amazon.  We'll never be without a box!
171106	This is 2.5 oz larger than what you can find in pet stores and less expensive. Shipped day the it was ordered and arrived 2 days later with prime.
148170	I grew up in Britain, where kippers - smoked herrings - were a common breakfast food.  Wishing to make kedgeree, a anglo-indian dish featuring smoked fish, including kippers, I shopped around and, based on the Amazon reviews, bought this product.  The fish that I received may have been smoked but they were then packed in oil to reverse the effect of smoking.  The result is an overly-priced version of sardines in oil.  This product is a travesty of the art of producing smoked fish, particularly kippers. That said, please buy this product if you like relatively tasteless, oily cans of dubious fish.
271634	I was in Istanbul last year and discovered the wonders of smooth, full-bodied Turkish coffee.  In my haste, I brought only one package back that I found at the Spice Market.  Once we tasted the coffee; we loved it.  Better than anything in the US.  As you can expect, we finished the small package very quickly so I decided to research the product and found it on the Internet.  It's the exact coffee from Istanbul!  Bought 3 canisters and have been so enjoying it.  The benefits -- I am allergic to caffein but have no problems with this coffee (though it is caffinated).  I have served it to many people including others who stay away from caffein and they have all enjoyed it as well.<br />This coffee is so smooth and flavorful and I am very picky about coffee especially when it's bitter (ugh).  It's a great product and I am glad there is a US importer for it.
109138	The 4 stars is so you are not disappointed with the lettuce, it's pretty soft and limp although tasty!
490118	"<a href=""""http://www.amazon.com/gp/product/B0002DJNMQ"""">Best Buddy Bits-Cheese Flavor 5.5 oz.  package</a>. This treat contains garlic powder which is toxic to some dogs according to my Vet. My dog as well as a relative's dog became violently ill after eating these treats. We both ended up with $ 400 Vet bills. I contacted the manufacturer, Exclusively Pet, Inc. months ago but I never heard back from them."
295456	Great soda from Hansen's, offered in health conscious way. Aspartame has caused health issues before, so an aspartame-free soda is very beneficial. Just as important is flavor, and boy does this taste good! It delivers what you expect out of a soda - flavor without a syrup aftertaste.<br /><br />In one word: refreshing.
239425	I feed my baby organic baby food from several different brands.  I must say that Sprout tastes the most like real table food.  If you look at the ingredients, you can tell that a lot of thought is put into making these taste like real food.  Plus, they are extremely filling and nutritious.  I have tasted this one, and if salt were added (of course I wouldn't want that in my baby's food), it would taste like a very delicious canned soup.<br /><br />If these are available locally, I would suggest buying one pouch of several different varieties before investing in 12 pouches of a flavor that your baby may or may not like.  My local grocery store carries them as well as Walmart.<br /><br />ETA:  I just noticed that amazon doesn't list the ingredients.  The ingredients for this flavor as well as all of the others can be found on the Sprout website.  I will copy them here.<br /><br />Organic Ground Chicken, Filtered Water, Organic Yukon Gold Potatoes, Organic Corn, Organic Peas, Organic Cream (organic cream, carrageenan), Organic Carrots, Organic Onions, Organic Extra Virgin Olive Oil, Organic Garlic, Organic Vegetable Base (organic carrots, organic onions, organic celery, organic canola oil, organic carrot powder, organic potato flour, organic onion powder), Organic Sage.
373176	This gets me about as close to authentic indian food as i can get at home. Maybe a little too much cinnamon in it, but makes a fantastic chicken tikka masala!
110530	"This is so handy, and it has a strong, bold flavor that is ten times better then """"instant"""" coffee.  No more dishwater....real coffee taste.  Easy to carry and such a treat. Its the best alternative when I cannot get to my coffee maker.  Love it !"
371420	I had been trying to find these for quite awhile, and I was so excited to find them here on Amazon.  What a mistake....I was so disappointed to find that they are horribly stale!!! A bag doesn't normally last too long when they are fresh, but I can't even eat these.  Save your money.
481980	"My dog loves this....and so do we!  Miki has been having problems for over a year with the skin just outside of her tear ducts getting red, then raw...poor thing.  Each time I'd take her to the vet, (2 different vets just to see), they  both prescribed the same eye drop medicine ($27.00) for a tiny bottle.  But, it never cleared up entirely, and the minute I'd stop with the drops, after weeks of applying 2-3 x's a day, it would come right back. Looking at her made me feel terrible.<br /><br />Then, I started thinking about maybe it was something she is eating, even though I've been feeding her Ceasar for a couple years and thought it to be a """"good"""" dog food.  But after researching what was in Wellness dog food compared to the store bought stuff, I couldn't believe I was feeding her that stuff!<br />So, after doing the math, a 3oz tub of Ceasar vs the 12 1/2 oz can of Wellness, I could get 3 bigger servings (4.1 oz each) out of a can of Wellness...for the same, or better price, and it was way healthier for her!<br /><br />Our Miki looks so pretty again (Papillon) and seems she has a whole lot more energy too! I figure it must be the change in diet that helped clear up her eyes but wasn't sure because we moved at the same time (same town) and I thought it might have been some plants/allergies she was getting into in the back yard.  But....I let myself run out of Wellness (not on purpose!) and had to feed her something else, so I went with the Ceasar and ordered her some more Wellness.  By the time I placed and received my order, (not much more than a week), the skin below her eyes had already broken out again! Ummmm...CONFIRMATION! And guess what?  Within 2 weeks after our Wellness shipment arrived, and she was back eating her favorite dog food, Miki's tear duct area was dried up, rawness gone, and hair was growing back!<br /><br />I don't even remember how I stumbled across this dog food, and who would have ever thought I'd be ordering dog food from Amazon, but with the great price, and free super saver shipping, like I said earlier, it's the same price as that store bought """"stuff"""", but she gets more than an ounce more per serving and look at the ingredients...it's real chicken, and sweet potatoes! (A lot of other good for her stuff!)<br /><br />I'm sold on Wellness (so is Miki~she loves it!) I had just come back online to re-order some more Wellness Chicken and Sweet Potato food, when I thought that I should take a moment to RAVE about this great stuff.<br />So I did!"
446045	I have 2 large breeds; a Tibetan Mastiff 2 years old and a Newfie 8 years old. I used to buy the old Sam's brand Lamb and Rice formula - which is a good food, but I always had to add something to it, like milk, broth, treats to make it palatable to the pups. This formula doesn't require anything but the kibble, and so treats remain treats instead of part of the meal.<br /><br />They both eat it up without any issues; no digestive problems.<br /><br />I originally found out about it through our dog trainer. She suggested it because my Newfie is a senior and is starting to have allergies - itchy skin. We live in the South and have 2 long haired large dogs who are prone to allergies. This has helped some, but I keep them on it because they do eat it and the ingredients are high quality.<br /><br />I started giving them Omega 3,6,9s and Biotin again. I used to do this over a year ago and they both had beautiful hair and skin. My TM has some itching, but not bad - gorgeous coat. The Newfie is miserable and I hope putting her back on the Omega's and Biotin will reverse the issues. Her hair and skin was great when she was on them before, I just wasn't 100% sure it was the vitamins that helped. I will know soon enough and post my findings. Just put them back on them, so it may take me 2 months to update. I have also tried other holistic approaches to helping her with her skin as well as Benadryl - they help some, but not enough.<br /><br />Won't be disappointed and you can't beat that delivery is free, no tax and it comes straight to your door - I enjoy that I do not have to lug the large bags around Sam's. :)
549153	My baby made funny face and turned away every time I tried to feed her. We tasted it and surely, it was too sour to eat. I opened 3 more pouches to make sure and they were all the same taste. I think they accidentally put too much lime or lemon juice in it. Before I contacted Amazon, I went back to read others reviews, I found another customer with the same issue.
411030	At first I planned to order this time from Amazon; however, I was glad I found it in the local Walmart store, and it only cost $7.24 for one box (32 envelopes).
